year_month,department_id,department_name,total_visits,inpatient_visits,avg_inpatient_los,readmissions_30d,eligible_index_admissions,readmission_rate_pct,total_cost,avg_cost_per_visit
2024-10,7,Emergency Medicine,362,0,,0,0,,984208.57,2718.81
2024-10,2,Internal Medicine,162,81,4.39,10,74,13.51,1731978.28,10691.22
2024-10,5,Neurology,99,51,4.19,4,46,8.7,1343144.83,13567.12
2024-10,6,Oncology,79,26,4.35,2,25,8.0,979437.86,12397.95
2024-10,4,Orthopedics,109,36,3.57,0,29,0.0,2133543.6,19573.79
2024-10,3,Surgery,120,59,4.26,4,53,7.55,2504446.97,20870.39
2024-10,8,Women's Health,111,40,4.68,9,38,23.68,2041206.87,18389.25
2024-11,1,Cardiology,170,90,3.91,12,84,14.29,3252184.97,19130.5
2024-11,7,Emergency Medicine,364,0,,0,0,,979661.73,2691.38
2024-11,2,Internal Medicine,144,63,4.39,11,59,18.64,1409293.46,9786.76
2024-11,5,Neurology,78,28,4.01,2,27,7.41,851058.02,10911.0
2024-11,6,Oncology,86,25,4.4,3,22,13.64,1151375.75,13388.09
2024-11,4,Orthopedics,99,26,4.58,3,21,14.29,1936407.54,19559.67
2024-11,3,Surgery,94,43,4.49,1,39,2.56,1942497.8,20664.87
2024-11,8,Women's Health,106,38,4.36,4,38,10.53,1919972.33,18112.95
2024-12,1,Cardiology,168,73,3.72,13,71,18.31,2696791.5,16052.33
2024-12,7,Emergency Medicine,331,0,,0,0,,847908.29,2561.66
2024-12,2,Internal Medicine,173,87,4.13,13,84,15.48,1720846.47,9947.09
2024-12,5,Neurology,72,22,4.47,2,21,9.52,731653.42,10161.85
2024-12,6,Oncology,95,33,5.03,1,27,3.7,1404209.49,14781.15
2024-12,4,Orthopedics,115,38,4.37,5,34,14.71,2317093.23,20148.64
2024-12,3,Surgery,111,54,3.87,5,50,10.0,2232415.27,20111.85
2024-12,8,Women's Health,106,41,4.53,9,35,25.71,2041664.5,19260.99
2025-01,1,Cardiology,159,77,4.42,16,70,22.86,2948139.8,18541.76
2025-01,7,Emergency Medicine,332,0,,0,0,,893730.07,2691.96
2025-01,2,Internal Medicine,146,77,4.05,12,73,16.44,1596778.02,10936.84
2025-01,5,Neurology,78,32,5.07,2,30,6.67,1055641.79,13533.87
2025-01,6,Oncology,96,40,4.1,5,35,14.29,1416156.61,14751.63
2025-01,4,Orthopedics,111,41,4.21,9,40,22.5,2458652.04,22150.02
2025-01,3,Surgery,96,51,4.31,11,50,22.0,2050384.21,21358.17
2025-01,8,Women's Health,104,39,3.73,5,36,13.89,1694357.66,16291.9
2025-02,1,Cardiology,125,53,4.58,8,51,15.69,2213088.66,17704.71
2025-02,7,Emergency Medicine,336,0,,0,0,,886199.7,2637.5
2025-02,2,Internal Medicine,136,66,4.32,8,59,13.56,1384927.28,10183.29
2025-02,5,Neurology,87,31,4.57,4,30,13.33,1033694.33,11881.54
2025-02,6,Oncology,111,42,4.81,4,36,11.11,1847668.65,16645.66
2025-02,4,Orthopedics,110,33,4.07,3,33,9.09,2130291.14,19366.28
2025-02,3,Surgery,113,61,4.12,11,58,18.97,2199150.27,19461.51
2025-02,8,Women's Health,93,44,5.64,7,40,17.5,2136610.81,22974.31
2025-03,1,Cardiology,166,78,3.86,10,77,12.99,2716237.48,16362.88
2025-03,7,Emergency Medicine,366,0,,0,0,,987640.41,2698.47
2025-03,2,Internal Medicine,165,83,4.25,11,78,14.1,1722780.78,10441.1
2025-03,5,Neurology,91,42,4.55,3,38,7.89,1259024.0,13835.43
2025-03,6,Oncology,95,36,4.42,6,32,18.75,1431548.59,15068.93
2025-03,4,Orthopedics,102,40,3.78,3,40,7.5,2009283.67,19698.86
2025-03,3,Surgery,99,34,4.39,3,33,9.09,1693374.27,17104.79
2025-03,8,Women's Health,94,38,4.37,7,37,18.92,1870815.82,19902.3
2025-04,1,Cardiology,143,68,4.83,12,63,19.05,2649871.79,18530.57
2025-04,7,Emergency Medicine,305,0,,0,0,,785121.67,2574.17
2025-04,2,Internal Medicine,176,77,4.49,8,68,11.76,1751111.29,9949.5
2025-04,5,Neurology,76,33,4.01,5,30,16.67,956520.62,12585.8
2025-04,6,Oncology,79,30,4.17,5,28,17.86,1187725.53,15034.5
2025-04,4,Orthopedics,114,39,3.91,4,37,10.81,2062895.29,18095.57
2025-04,3,Surgery,107,59,4.66,11,58,18.97,2567980.53,23999.82
2025-04,8,Women's Health,100,30,4.32,3,28,10.71,1688461.45,16884.61
2025-05,1,Cardiology,148,75,3.76,10,67,14.93,2777993.8,18770.23
2025-05,7,Emergency Medicine,332,0,,0,0,,876219.1,2639.21
2025-05,2,Internal Medicine,168,92,4.09,5,83,6.02,1837444.33,10937.17
2025-05,5,Neurology,91,38,4.27,4,34,11.76,1155904.47,12702.25
2025-05,6,Oncology,110,37,4.5,6,31,19.35,1609990.38,14636.28
2025-05,4,Orthopedics,97,43,4.47,4,38,10.53,2338053.82,24103.65
2025-05,3,Surgery,115,60,4.69,11,54,20.37,2570114.76,22348.82
2025-05,8,Women's Health,103,35,4.15,3,31,9.68,1870657.96,18161.73
2025-06,1,Cardiology,139,64,4.3,9,64,14.06,2453626.7,17651.99
2025-06,7,Emergency Medicine,344,0,,0,0,,905622.1,2632.62
2025-06,2,Internal Medicine,158,94,4.09,16,87,18.39,1775834.77,11239.46
2025-06,5,Neurology,88,44,4.16,7,42,16.67,1162893.7,13214.7
2025-06,6,Oncology,96,33,4.26,5,27,18.52,1330999.2,13864.57
2025-06,4,Orthopedics,98,47,4.36,6,47,12.77,2239381.63,22850.83
2025-06,3,Surgery,98,48,3.47,5,43,11.63,1864335.71,19023.83
2025-06,8,Women's Health,98,48,4.42,7,44,15.91,1995831.19,20365.62
2025-07,1,Cardiology,137,71,4.03,14,69,20.29,2262770.44,16516.57
2025-07,7,Emergency Medicine,338,0,,0,0,,912196.16,2698.81
2025-07,2,Internal Medicine,185,93,4.02,16,86,18.6,1860819.52,10058.48
2025-07,5,Neurology,89,35,4.14,2,33,6.06,1115504.45,12533.76
2025-07,6,Oncology,101,37,5.45,4,34,11.76,1836414.72,18182.32
2025-07,4,Orthopedics,108,32,4.73,3,27,11.11,2227171.27,20621.96
2025-07,3,Surgery,104,54,4.69,8,49,16.33,2334706.6,22449.1
2025-07,8,Women's Health,95,38,4.25,6,34,17.65,1949378.94,20519.78
2025-08,1,Cardiology,149,67,4.33,9,63,14.29,2684187.41,18014.68
2025-08,7,Emergency Medicine,349,0,,0,0,,934593.31,2677.92
2025-08,2,Internal Medicine,167,87,4.13,13,81,16.05,1775523.05,10631.87
2025-08,5,Neurology,91,40,4.21,5,34,14.71,1193502.59,13115.41
2025-08,6,Oncology,92,34,4.09,3,30,10.0,1322823.35,14378.51
2025-08,4,Orthopedics,109,36,4.24,7,36,19.44,1906424.47,17490.13
2025-08,3,Surgery,110,56,3.92,12,50,24.0,2196207.44,19965.52
2025-08,8,Women's Health,115,37,3.85,3,32,9.38,1854406.45,16125.27
2025-09,1,Cardiology,132,57,4.29,7,54,12.96,2347509.8,17784.17
2025-09,7,Emergency Medicine,375,0,,0,0,,995141.99,2653.71
2025-09,2,Internal Medicine,161,85,4.43,12,81,14.81,1793985.98,11142.77
2025-09,5,Neurology,90,40,4.07,7,38,18.42,1136124.4,12623.6
2025-09,6,Oncology,81,31,4.08,5,31,16.13,1271985.58,15703.53
2025-09,4,Orthopedics,93,31,4.68,3,27,11.11,1882158.45,20238.26
2025-09,3,Surgery,117,60,4.06,9,53,16.98,2211598.37,18902.55
2025-09,8,Women's Health,108,40,3.88,6,36,16.67,1931414.31,17883.47
2025-10,1,Cardiology,143,58,4.93,19,50,38.0,2444548.17,17094.74
2025-10,7,Emergency Medicine,332,0,,0,0,,891394.64,2684.92
2025-10,2,Internal Medicine,158,78,4.31,13,71,18.31,1657506.44,10490.55
2025-10,5,Neurology,91,40,4.38,10,38,26.32,1084489.54,11917.47
2025-10,6,Oncology,93,35,4.52,4,32,12.5,1472484.77,15833.17
2025-10,4,Orthopedics,97,34,4.9,10,31,32.26,2041880.46,21050.31
2025-10,3,Surgery,95,51,4.51,7,45,15.56,2071279.61,21802.94
2025-10,8,Women's Health,102,44,4.61,6,38,15.79,2089442.34,20484.73
2025-11,1,Cardiology,141,66,5.35,14,61,22.95,2590103.17,18369.53
2025-11,7,Emergency Medicine,348,0,,0,0,,914835.28,2628.84
2025-11,2,Internal Medicine,165,89,4.39,15,84,17.86,1840233.16,11152.93
2025-11,5,Neurology,91,39,3.43,9,37,24.32,962037.18,10571.84
2025-11,6,Oncology,112,44,4.58,11,40,27.5,1777427.66,15869.89
2025-11,4,Orthopedics,122,37,4.49,4,34,11.76,2394565.5,19627.59
2025-11,3,Surgery,118,62,4.08,6,58,10.34,2479454.6,21012.33
2025-11,8,Women's Health,104,32,5.15,3,28,10.71,1840279.89,17695.0
2025-12,1,Cardiology,155,80,5.01,7,76,9.21,2996789.94,19334.13
2025-12,7,Emergency Medicine,351,0,,0,0,,936363.27,2667.7
2025-12,2,Internal Medicine,171,97,4.26,12,87,13.79,1991083.62,11643.76
2025-12,5,Neurology,78,27,3.88,4,26,15.38,795450.9,10198.09
2025-12,6,Oncology,83,34,4.32,5,34,14.71,1384459.92,16680.24
2025-12,4,Orthopedics,111,40,4.51,8,38,21.05,2164074.4,19496.17
2025-12,3,Surgery,103,44,4.83,9,44,20.45,2175429.46,21120.67
2025-12,8,Women's Health,104,43,4.99,4,40,10.0,2068979.35,19894.03
2026-01,1,Cardiology,129,58,3.97,6,53,11.32,2116067.83,16403.63
2026-01,7,Emergency Medicine,375,0,,0,0,,1004606.21,2678.95
2026-01,2,Internal Medicine,185,93,4.47,20,87,22.99,2053022.95,11097.42
2026-01,5,Neurology,66,25,4.46,2,23,8.7,801331.09,12141.38
2026-01,6,Oncology,120,46,4.46,6,41,14.63,1921132.95,16009.44
2026-01,4,Orthopedics,108,31,3.48,2,29,6.9,1723292.06,15956.41
2026-01,3,Surgery,112,60,4.55,14,54,25.93,2356864.35,21043.43
2026-01,8,Women's Health,101,41,4.81,4,35,11.43,2050052.77,20297.55
2026-02,1,Cardiology,137,66,4.52,9,59,15.25,2487376.57,18156.03
2026-02,7,Emergency Medicine,319,0,,0,0,,853194.9,2674.59
2026-02,2,Internal Medicine,165,76,4.27,10,69,14.49,1676945.22,10163.3
2026-02,5,Neurology,85,35,4.45,0,30,0.0,1093853.24,12868.86
2026-02,6,Oncology,76,22,4.24,2,21,9.52,1002722.87,13193.72
2026-02,4,Orthopedics,103,35,3.83,8,30,26.67,1923900.01,18678.64
2026-02,3,Surgery,102,56,3.74,4,53,7.55,2081862.77,20410.42
2026-02,8,Women's Health,102,33,5.8,7,30,23.33,1965700.71,19271.58
2026-03,1,Cardiology,155,56,4.31,6,53,11.32,2516845.1,16237.71
2026-03,7,Emergency Medicine,320,0,,0,0,,877925.6,2743.52
2026-03,2,Internal Medicine,170,88,3.85,13,82,15.85,1696329.97,9978.41
2026-03,5,Neurology,87,35,3.67,8,32,25.0,1007548.83,11581.02
2026-03,6,Oncology,88,30,4.12,4,26,15.38,1313080.77,14921.37
2026-03,4,Orthopedics,109,37,4.4,4,32,12.5,2212106.63,20294.56
2026-03,3,Surgery,94,41,4.45,4,41,9.76,1867093.48,19862.7
2026-03,8,Women's Health,115,48,4.3,10,45,22.22,2145971.76,18660.62
2026-04,1,Cardiology,116,57,4.16,11,53,20.75,1989457.99,17150.5
2026-04,7,Emergency Medicine,358,0,,0,0,,945343.4,2640.62
2026-04,2,Internal Medicine,182,105,4.22,15,100,15.0,2103270.09,11556.43
2026-04,5,Neurology,89,40,3.81,4,38,10.53,1087644.43,12220.72
2026-04,6,Oncology,72,26,3.68,2,19,10.53,1088457.01,15117.46
2026-04,4,Orthopedics,102,34,4.28,5,30,16.67,2380419.64,23337.45
2026-04,3,Surgery,112,60,4.09,8,59,13.56,2260084.28,20179.32
2026-04,8,Women's Health,121,50,3.59,6,46,13.04,2172373.92,17953.5
2026-05,1,Cardiology,124,51,3.72,10,45,22.22,1962027.11,15822.8
2026-05,7,Emergency Medicine,361,0,,0,0,,983962.35,2725.66
2026-05,2,Internal Medicine,172,86,4.95,11,76,14.47,1982075.36,11523.69
2026-05,5,Neurology,80,30,4.39,7,25,28.0,923235.28,11540.44
2026-05,6,Oncology,97,29,4.77,7,26,26.92,1377636.28,14202.44
2026-05,4,Orthopedics,120,27,4.91,6,27,22.22,2117243.1,17643.69
2026-05,3,Surgery,135,59,4.17,6,52,11.54,2566539.17,19011.4
2026-05,8,Women's Health,109,38,2.97,4,34,11.76,1572567.77,14427.23
2026-06,1,Cardiology,130,57,4.03,5,54,9.26,2152921.04,16560.93
2026-06,7,Emergency Medicine,346,0,,0,0,,936806.43,2707.53
2026-06,2,Internal Medicine,161,90,3.98,9,78,11.54,1713595.87,10643.45
2026-06,5,Neurology,90,45,4.67,5,42,11.9,1339070.02,14878.56
2026-06,6,Oncology,95,32,4.29,4,26,15.38,1186802.21,12492.65
2026-06,4,Orthopedics,100,38,4.69,3,35,8.57,2121518.51,21215.19
2026-06,3,Surgery,114,53,4.29,7,48,14.58,2520482.38,22109.49
2026-06,8,Women's Health,89,37,3.78,5,32,15.63,1594135.46,17911.63
2026-07,1,Cardiology,143,66,5.27,7,62,11.29,2802672.97,19599.11
2026-07,7,Emergency Medicine,358,0,,0,0,,941366.76,2629.52
2026-07,2,Internal Medicine,161,79,4.17,10,73,13.7,1575147.04,9783.52
2026-07,5,Neurology,81,39,4.63,9,37,24.32,1131850.9,13973.47
2026-07,6,Oncology,101,43,4.33,6,39,15.38,1686337.3,16696.41
2026-07,4,Orthopedics,114,44,4.41,4,41,9.76,2477890.43,21735.88
2026-07,3,Surgery,102,52,4.36,7,49,14.29,2033594.08,19937.2
2026-07,8,Women's Health,120,43,4.43,6,39,15.38,2183208.34,18193.4
2026-08,1,Cardiology,129,58,4.29,1,55,1.82,2030603.55,15741.11
2026-08,7,Emergency Medicine,384,0,,0,0,,995899.67,2593.49
2026-08,2,Internal Medicine,159,86,4.39,0,79,0.0,1803191.58,11340.83
2026-08,5,Neurology,115,53,3.72,0,46,0.0,1450162.67,12610.11
2026-08,6,Oncology,87,34,4.39,1,31,3.23,1414550.3,16259.2
2026-08,4,Orthopedics,117,35,4.51,0,31,0.0,2265235.65,19360.99
2026-08,3,Surgery,118,47,4.25,0,45,0.0,2140065.94,18136.15
2026-08,8,Women's Health,82,32,4.96,3,29,10.34,1640702.5,20008.57
